Ticker,Date,Open,High,Low,Close,Change,% Change,Volume
FPT,31/05/2021,48375.0451395395,49641.40757774734,47969.809159312994,49590.75308021903,,,4421806
FPT,28/05/2021,47615.2276766148,48121.77265189793,47463.26418402985,48020.4636568413,,,1874300
FPT,27/05/2021,48273.73614448287,48324.39064201119,47361.95518897323,47513.91868155817,,,2974924
FPT,26/05/2021,47716.53667167143,48375.0451395395,47463.26418402985,48273.73614448287,,,2097800
FPT,25/05/2021,47361.95518897323,48223.08164695456,47007.37370627504,47513.91868155817,,,2232300
FPT,24/05/2021,47513.91868155817,47564.57317908648,46652.79222357684,47361.95518897323,,,3680121
FPT,21/05/2021,47767.19116919974,48932.24461235095,47108.68270133166,47513.91868155817,,,6641600
FPT,20/05/2021,45994.28375570876,48375.0451395395,45791.66576559551,48375.0451395395,,,4055300
FPT,19/05/2021,44322.685337274415,46146.2472482937,43968.10385457621,45994.28375570876,,,2896300
FPT,18/05/2021,43765.48586446296,44272.0308397461,43664.176869406336,44069.41284963284,,,2281300
FPT,17/05/2021,43461.55887929308,43866.79485951959,43157.6318941232,43410.90438176477,,,4489400
FPT,14/05/2021,42701.74141636838,43664.176869406336,42600.43242131175,42955.013904009946,,,1908700
FPT,13/05/2021,43056.322899066574,43258.94088917982,42549.77792378343,42549.77792378343,,,2789200
FPT,12/05/2021,43056.322899066574,43258.94088917982,42701.74141636838,43258.94088917982,,,1864500
FPT,11/05/2021,43562.86787434971,43866.79485951959,43157.6318941232,43157.6318941232,,,2284000
FPT,10/05/2021,42093.88744602861,43562.86787434971,42043.2329485003,43461.55887929308,,,4581300
FPT,07/05/2021,41891.26945591536,42549.77792378343,41688.6514658021,42043.2329485003,,,2750900
FPT,06/05/2021,42043.2329485003,42296.505436141866,41637.996968273794,41891.26945591536,,,1969000
FPT,05/05/2021,42803.05041142501,42803.05041142501,41891.26945591536,41992.57845097199,,,2347200
FPT,04/05/2021,40523.59802265089,42296.505436141866,40523.59802265089,41992.57845097199,,,3425700
FPT,29/04/2021,40928.8340028774,41435.37897816054,40928.8340028774,40979.488500405714,,,2228900
FPT,28/04/2021,40574.2525201792,41182.10649051897,40574.2525201792,40928.8340028774,,,1727649
FPT,27/04/2021,40726.21601276415,41232.76098804728,40574.2525201792,40878.179505349086,,,1812100
FPT,26/04/2021,41789.96046085873,41941.92395344367,40776.87051029246,41030.142997934025,,,3116300
FPT,23/04/2021,40523.59802265089,42043.2329485003,40371.63453006595,42043.2329485003,,,3206400
FPT,22/04/2021,41536.687973217166,42499.12342625512,40523.59802265089,40523.59802265089,,,2424200
FPT,20/04/2021,41435.37897816054,43005.668401538256,41334.06998310391,41992.57845097199,,,5067760
FPT,19/04/2021,40523.59802265089,41283.41548557559,40270.32553500933,41283.41548557559,,,3550700
FPT,16/04/2021,40422.28902759426,41131.45199299065,39915.74405231113,40371.63453006595,,,2595600
FPT,15/04/2021,41030.142997934025,41232.76098804728,40422.28902759426,40523.59802265089,,,3080200
FPT,14/04/2021,40523.59802265089,41030.142997934025,40270.32553500933,41030.142997934025,,,2530600
FPT,13/04/2021,41536.687973217166,41637.996968273794,40776.87051029246,40878.179505349086,,,3303300
FPT,12/04/2021,41739.305963330415,41739.305963330415,41283.41548557559,41587.34247074548,,,2119500
FPT,09/04/2021,40472.94352512258,42043.2329485003,40472.94352512258,41587.34247074548,,,4984795
FPT,08/04/2021,40624.90701770752,40827.525007820775,40270.32553500933,40320.98003253764,,,2129800
FPT,07/04/2021,40118.36204242439,40371.63453006595,40067.70754489607,40320.98003253764,,,2055600
FPT,06/04/2021,40067.70754489607,40523.59802265089,40067.70754489607,40219.671037481006,,,1632800
FPT,05/04/2021,40726.21601276415,40776.87051029246,39966.39854983944,40320.98003253764,,,2757500
FPT,02/04/2021,40726.21601276415,40776.87051029246,40422.28902759426,40422.28902759426,,,1991200
FPT,01/04/2021,39459.85357455631,40371.63453006595,39459.85357455631,40371.63453006595,,,3150900
FPT,31/03/2021,39054.61759432979,39561.16256961293,38801.34510668823,39358.54457949968,,,1420000
FPT,30/03/2021,39459.85357455631,39510.508072084616,39003.96309680148,39054.61759432979,,,1712500
FPT,29/03/2021,38750.69060915992,39561.16256961293,38548.07261904666,39307.89008197137,,,2034665
